hex,registration,type,desc,label,day,n_pts,dur_h,max_fl,lon_min,lon_max,lat_min,lat_max,start,end,ocean_pts,cross_h,night_frac,mean_ocean_elev
406f72,G-ZBKF,B789,BOEING 787-9 Dreamliner,BA B787-9 (JFK->LHR night),2024-12-08,1298,6.9,390,-84.6,0.0,38.7,55.8,00:00Z,06:55Z,904,5.8,1.0,-27.1
400774,G-VIIW,B772,BOEING 777-200,BA B777-200ER (->LHR night),2024-12-08,645,6.3,390,-75.2,-0.0,39.8,54.0,00:00Z,06:19Z,426,5.8,1.0,-33.9
407799,G-XWBC,A35K,AIRBUS A-350-1000,BA A350-1000 (->LHR night),2024-12-08,699,6.1,400,-75.0,-0.0,39.7,54.0,00:00Z,06:07Z,421,5.5,1.0,-34.5
44003f,OE-LAZ,B763,BOEING 767-300,Austrian B767-300ER (->VIE night),2024-12-08,978,7.6,370,-74.0,16.5,45.4,55.7,00:01Z,07:35Z,468,6.1,1.0,-29.5
394a0a,F-GSQK,B77W,BOEING 777-300ER,AF B777-300ER (->CDG night),2024-12-08,773,7.0,360,-77.6,2.8,38.9,51.0,00:06Z,07:03Z,387,6.0,1.0,-28.3
